id,val_niveltensao,idh
FOZ CHAPECO,230,0.771
FOZ DO CHOPIM,230,0.769
FUNIL,230,0.691
FURNAS,345,0.774
FUTURA,500,0.691
G.MANGABEIRA,230,0.691
G.VALADARES 2,230,0.774
G.VALADARES 6,500,0.774
GARANHUNS II,500,0.719
GARIBALDI 1,230,0.771
GASPAR 2,500,0.792
GENTIO OURO II,500,0.691
GERDAU O.BRANCO,345,0.774
GERDAU SP,440,0.806
GETULINA,440,0.806
GILBUES II,500,0.69
GOIANIA LESTE,230,0.737
GOIANINHA,230,0.719
GRAJAU,500,0.762
GRALHA AZUL,230,0.769
GRAVATAI,500,0.771
GRAVATAI2,230,0.771
GRAVATAI3,230,0.771
GUAIBA 2,230,0.771
GUAIBA 3,500,0.771
GUAIRA,500,0.769
GUAMA,230,0.69
GUARAPUAVA OEST,230,0.769
GUARITA,230,0.771
GUARULHOS,345,0.806
GUIL AMORIM-SE,230,0.774
GURUPI,500,0.731
GV DO BRASIL,230,0.806
H.BORDEN SUB,230,0.806
IBIAPINA II,230,0.734
IBICOARA,500,0.691
IBIPORA,230,0.769
IBIUNA,600,0.806
ICO,230,0.734
IGAPORA II,230,0.691
IGAPORA III,500,0.691
IJUI 2,230,0.771
IL.SOLTEIRA 2,440,0.742
ILHA SOLTEIRA,440,0.806
IMBIRUSSU,230,0.742
IMPERATRIZ,500,0.676
INDAIAL,230,0.792
INOCENCIA,230,0.742
INTEGRADORA,500,0.69
INTERLAGOS,345,0.806
IPATINGA 1,230,0.774
IRAPE-SE,345,0.774
IRATI NORTE,230,0.769
IRECE,230,0.691
ITA,500,0.792
ITABAIANA,230,0.702
ITABAIANINHA,230,0.702
ITABERA,765,0.806
ITABIRA 2,230,0.774
ITABIRA 4,230,0.774
ITABIRA 5,500,0.774
ITABIRITO 2,500,0.774
ITABUNA III,230,0.691
ITACAIUNAS,500,0.69
ITAGIBA,230,0.691
ITAGUACU,500,0.737
ITAJAI,230,0.792
ITAJAI 2,500,0.792
ITAJUBA 3,500,0.774
ITAPACI,230,0.737
ITAPEBI SE,230,0.691
ITAPETI,345,0.806
ITARARE II,230,0.806
ITATIBA,500,0.806
ITAUBA,230,0.771
ITUMBIARA,500,0.774
ITUTINGA,345,0.774
IVAIPORA ELS,500,0.769
IVAIPORA FUR,765,0.769
IVINHEMA 2,230,0.742
J. CAMARA III,500,0.728
J.LACERDA-A,230,0.792
J.LACERDA-B,230,0.792
J.MONLEVADE 2,230,0.774
J.MONLEVADE 4,230,0.774
JABOATAO II,230,0.719
JACARACANGA,230,0.691
JACAREPAGUA,345,0.762
