nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
DOURADOS 2,IVINHEMA 2,230,132.3,1.007,8.575,33.4,1680,1680,1680,1680
DOURADOS 2,RIO BRILHANTE,230,122,0.925,7.931,30.4,1680,1680,2065,2065
IL.SOLTEIRA 2,INOCENCIA,230,79.2,0.573,4.351,22.28,1770,1770,2180,2180
IL.SOLTEIRA 2,INOCENCIA,230,79.2,0.573,4.351,22.28,1770,1770,2180,2180
IL.SOLTEIRA 2,INOCENCIA,230,79.2,0.477,4.789,19.2,1770,1770,2180,2180
IMBIRUSSU,RIO BRILHANTE,230,150.2,1.158,9.8,37.55,1680,1680,1680,1680
IMBIRUSSU,SIDROLANDIA 2,230,43.4,0.407,2.828,10.96,1400,1400,1720,1720
IVINHEMA 2,N.P.PRIMAVERA,230,66,0.491,4.189,16,1680,1680,1680,1680
IVINHEMA 2,N.P.PRIMAVERA,230,64,0.499,4.263,16.13,1680,1680,2065,2065
BARRA PEIXE,RONDONOPOLIS,230,217,4.102,19.862,37.06,586,586,738,738
BARRA PEIXE,RONDONOPOLIS,230,217,1.694,12.253,62.49,1336,1336,1683,1485
BRASNORTE,JUINA,230,207.5,1.612,13.406,53.13,1400,1400,1750,1750
BRASNORTE,JUINA,230,207.5,1.612,13.406,53.13,1400,1400,1750,1750
BRASNORTE,NOVA MUTUM,230,273,1.95,16.88,65.8,1180,1180,1730,1730
BRASNORTE,NOVA MUTUM,230,273,1.95,16.88,65.8,1180,1180,1730,1730
BRASNORTE,PARECIS,230,111.1,1.723,10.154,20.25,700,700,875,875
BRASNORTE,PARECIS,230,111.1,1.723,10.154,20.25,700,700,875,875
CANARANA,PARANATINGA,230,275,5.553,24.04,47.24,560,560,790,790
COXIPO,NOBRES,230,105,1.79,10.585,19.85,971.4,971.4,1086.9,1086.9
COXIPO,SE CUIABA,230,17,0.136,1.142,4.238,1400,1400,1400,1400
COXIPO,SE CUIABA,230,17,0.136,1.142,4.238,1400,1400,1400,1400
COXIPO,VARZ.GRANDE 2,230,25,0.232,1.933,7.158,1336,1336,1683,1683
COXIPO,VARZ.GRANDE 2,230,25,0.232,1.933,7.158,1336,1336,1683,1683
DARDANELOS,JUINA,230,168.5,1.501,12.484,47,0,0,0,0
DARDANELOS,JUINA,230,168.5,1.512,12.454,47.02,0,0,0,0
JAURU,JUBA,230,129,0.66,7.66,33.45,1480,1480,1850,1850
JAURU,JUBA,230,129,0.66,7.66,33.45,1480,1480,1850,1850
JAURU,VARZ.GRANDE 2,230,341,2.548,21.918,85.06,1336,1336,1683,1683
JAURU,VARZ.GRANDE 2,230,341,2.548,21.918,85.06,1336,1336,1683,1683
JUBA,BRASNORTE,230,232,1.838,15.284,60.58,1400,1400,1750,1750
JUBA,BRASNORTE,230,232,1.838,15.284,60.58,1400,1400,1750,1750
L.D.RIO VERDE,SORRISO,230,52.5,0.841,4.957,9.26,668,668,842,842
NOBRES,NOVA MUTUM,230,110,1.609,9.771,18.56,668,600,842,600
NOBRES,NOVA MUTUM,230,105,1.595,9.456,19.13,700,700,875,875
NOVA MUTUM,L.D.RIO VERDE,230,93.8,1.497,8.841,16.56,668,668,842,842
NOVA MUTUM,SORRISO,230,145,2.346,13.322,27.36,700,700,875,875
RIBEIRAOZINHO,BARRA PEIXE,230,3.4,0.026,0.216,0.811,1400,1400,1400,1400
RIBEIRAOZINHO,BARRA PEIXE,230,3.4,0.026,0.216,0.811,1400,1400,1400,1400
RONDONOPOLIS,COXIPO,230,188,3.53,18.383,32.8,586,586,738,738
RONDONOPOLIS,COXIPO,230,188,3.664,17.689,32.88,586,586,738,738
SE CUIABA,NOBRES,230,130,0.983,7.708,32.82,1400,1400,1750,1750
SE CUIABA,RONDONOPOLIS,230,171,1.345,10.589,45.37,1400,1400,1400,1400
SINOP,SORRISO,230,76.1,1.181,6.705,13.77,700,700,875,875
SINOP,SORRISO II,230,53.73,0.86,5.023,9.52,668,668,842,842
SORRISO II,SORRISO,230,20.9,0.34,1.983,3.755,668,668,842,842
ALTAMIRA,TRANSAMAZONIC,230,184.6,1.452,10.47,53.12,1336,1000,1683,1000
ALTAMIRA,TRANSAMAZONIC,230,188,1.4166,10.736,54.17,1595,1595,1975,1975
ALTAMIRA,XINGU,230,61,0.456,3.428,17.07,1595,1595,1975,1975
CARAJAS,INTEGRADORA,230,83,1.123,7.655,15.84,692,692,872,872
CARAJAS,INTEGRADORA,230,83,1.126,7.651,15.85,692,692,872,872
CARAJAS,MARABA,230,145,2.56,13.82,25.86,416.7,416.7,525,525
CASTANHAL,MARITUBA,230,68.6,0.5155,3.85,19.25,1735,1735,1995,1995
CASTANHAL,SANTA MARIA,230,24.68,0.4,2.338,4.788,700,700,861,861
CASTANHAL,SANTA MARIA,230,25.04,0.475,2.348,4.304,586,586,738,738
CASTANHAL,UTINGA,230,69.27,1.327,6.567,12.06,866,866,866,866
CASTANHAL,VILA DO CONDE,230,130.15,0.997,7.905,34.91,1400,1400,1722,1722
GUAMA,MARITUBA,230,10,0.1413,0.9951,3.651,1172,1172,1477,1477
GUAMA,MARITUBA,230,2,0.1413,0.9951,3.651,1172,1172,1477,1477
INTEGRADORA,ONCA PUMA,230,181,2.218,17.08,34.02,715,715,960,960
INTEGRADORA,ONCA PUMA,230,181,2.23,15.87,34.02,715,715,960,960
INTEGRADORA,XINGUARA 2,230,79,1.3748,6.7018,12.21,695,695,930,930
INTEGRADORA,XINGUARA 2,230,72.3,1.356,6.806,12.688,695,695,930,930
ITACAIUNAS,CARAJAS,230,110,0.69,7.102,27.3,1960,1960,1960,1960
ITACAIUNAS,CARAJAS,230,110,0.69,7.102,27.3,1960,1960,1960,1960
ITACAIUNAS,CARAJAS,230,108,0.699,7.036,27.3,1630,1630,1960,1960
JURUPARI,LARANJAL,230,105,0.887,6.103,30.57,1400,1400,1750,1750
JURUPARI,LARANJAL,230,105,0.887,6.103,30.57,1400,1400,1750,1750
JURUPARI,LARANJAL,230,105,0.815,6.0949,29.99,1400,1400,1750,1750
JURUTI,PARINTINS,230,102,1.2477,8.8039,17.72,890,890,1104,1104
JURUTI,PARINTINS,230,102,1.2477,8.8039,17.72,890,890,1104,1104
MARITUBA,UTINGA,230,10.1,0.0877,0.6179,2.268,1172,1172,1477,1477
MARITUBA,UTINGA,230,2,0.0877,0.6179,2.268,1172,1172,1477,1477
MARITUBA,UTINGA,230,9.53,0.092,0.576,2.63,1535,1535,1765,1765
MARITUBA,UTINGA,230,9.53,0.092,0.576,2.63,1535,1535,1765,1765
MIRAMAR,UTINGA,230,15,0.168,1.057,3.882,1532.6,1532.6,1762.49,1762.49
MIRAMAR,UTINGA,230,15,0.168,1.057,3.882,1532.6,1532.6,1762.49,1762.49
ORIXIMINA,JURUTI,230,128.62,1.6537,11.693,23.61,890,890,1104,1104
ORIXIMINA,JURUTI,230,128.62,1.6537,11.693,23.61,890,890,1104,1104
RUROPOLIS,TRANSAMAZONIC,230,145.4,1.152,8.276,41.76,1336,1000,1683,1000
SANT. ARAGUAIA,XINGUARA 2,230,267.4,3.971,24.291,48.78,700,700,880,880
SANT. ARAGUAIA,XINGUARA 2,230,267.4,3.971,24.291,48.78,700,700,880,880
TAPAJOS II,TRANSAMAZONIC,230,187,2.215,17.766,34.07,850,850,1060,1060
TOME ACU,VILA DO CONDE,230,124.67,1.921,11.49,22.44,700,700,875,875
TUCURUI,ALTAMIRA,230,325,2.38,18.08,94.67,1336,1080,1683,1080
VILA DO CONDE,GUAMA,230,49.3,0.48,3.33,12.12,1533,1533,1762,1762
VILA DO CONDE,GUAMA,230,49.3,0.48,3.33,12.12,1533,1533,1762,1762
C.GRANDE II,C.GRANDE III,230,8.5,0.1,0.73,2.72,1265,1265,1590,1590
C.GRANDE II,C.GRANDE III,230,10.3,0.1,0.73,2.72,1262,1262,1590,1590
C.GRANDE II,C.GRANDE III,230,8.5,0.09,0.65,2.46,1265,1265,1590,1590
C.GRANDE II,COTEMINAS,230,2.3,0.02,0.17,0.62,1262,1200,1590,1200
C.GRANDE II,PARAISO,230,117.7,2.16,11.06,20.9,631,631,795,795
C.GRANDE II,PARAISO,230,117.65,2.16,11.06,20.9,631,631,795,795
C.GRANDE III,EXTREMOZ II,230,192.2,1.75,12.66,47.66,1262,1262,1590,1590
JOAO PESSOA II,MUSSURE II,230,5.77,0.104,0.506,0.953,631,631,795,795
JOAO PESSOA II,MUSSURE II,230,5.4,0.104,0.506,0.953,631,631,795,795
JOAO PESSOA II,SANTA RITA II,230,13.7,0.264,1.284,2.416,631,631,795,795
JOAO PESSOA II,SANTA RITA II,230,13.11,0.264,1.284,2.416,631,631,795,795
MUSSURE II,NORFIL,230,2,0.035,0.187,0.344,502,502,628,628
RIACHAO II,C.GRANDE III,230,95.6,0.883,6.389,23.71,1262,1262,1590,1590
RIACHAO II,EXTREMOZ II,230,97.04,0.896,6.482,24.06,1262,1262,1590,1590
ANGELIM,C.GRANDE II,230,186,1.774,12.622,45.99,628,628,1004,1004
ANGELIM,GARANHUNS II,230,12,0.107,0.582,3.982,874,874,1242,1242
ANGELIM,GARANHUNS II,230,12,0.106,0.9076,2.687,874,874,1241,1241
ANGELIM,GARANHUNS II,230,12,0.118,0.822,2.96,1250,1250,1590,1590
ANGELIM,MESSIAS,230,78.8,1.44,7.35,13.74,437,437,621,590
ANGELIM,MESSIAS,230,78.8,1.44,7.35,13.74,437,437,621,590
ANGELIM,MESSIAS,230,79.1,1.46,7.7,13.42,631,631,795,795
ANGELIM,RECIFE II,230,171.7,3.12,16.34,29.76,437,437,621,437
ANGELIM,RIBEIRAO,230,115.6,2.1,11.44,18.96,437,437,621,621
ANGELIM,RIBEIRAO,230,115,2.1,11.44,18.96,437,437,621,437
ANGELIM,TACAIMBO,230,64,1.19,6.12,11.88,631,631,795,631
ANGELIM,TACAIMBO,230,64,1.2,6.26,11.76,631,631,795,631
ANGELIM,TACAIMBO,230,65.7,1.22,6.15,12.22,631,631,795,795
ARCOVERDE II,CAETES II,230,48,0.743,4.434,8.61,1000,1000,1150,1150
ARCOVERDE II,GARANHUNS II,230,81,1.251,7.474,14.53,1000,1000,1150,1150
BOM NOME,FLORESTA II,230,83.6,1.19,5.32,27.66,1003,1003,1003,1003
BOM NOME,MILAGRES,230,83.7,1.54,8.05,14.6,437,437,621,437
BOM NOME,TACARATU,230,141,2.5,13.11,23.94,631,631,795,631
BONGI,JOAIRAM,230,6.26,0.11,0.62,1.03,631,631,795,631
BONGI,JOAIRAM,230,6.37,0.12,0.61,1.1,631,631,795,631
BONGI,JOAIRAM,230,6.37,0.12,0.61,1.1,631,631,795,631
CAETES II,GARANHUNS II,230,45,0.9613,4.593,8.042,661,661,661,661
FLORESTA II,P.AFONSO III,230,80.6,1.02,4.51,23.26,1003,1003,1003,1003
GARANHUNS II,P.AFONSO III,230,209,3.681,20.066,34.32,437,437,621,437
GARANHUNS II,P.AFONSO III,230,209,3.681,20.066,34.32,437,437,621,437
GARANHUNS II,P.AFONSO III,230,209,1.82,15.632,46.38,874,874,1241,1241
GOIANINHA,C.GRANDE II,230,99.2,1.82,9.73,16.68,631,631,795,688
GOIANINHA,JOAO PESSOA II,230,45.54,0.904,4.41,8.294,631,631,795,795
GOIANINHA,JOAO PESSOA II,230,45.76,0.904,4.41,8.294,631,631,795,795
GOIANINHA,NORFIL,230,50,0.88,4.67,8.6,502,502,628,628
GOIANINHA,PAU FERRO,230,43.3,0.72,3.85,8.23,631,631,795,795
JABOATAO II,PIRAPAMA II,230,33.9,0.63,3.2,5.98,903,903,903,903
JABOATAO II,RECIFE II,230,15.9,0.3,1.5,2.8,903,903,903,903
LAGOA DO CARRO,COTEMINAS,230,95.98,0.908,6.414,23.69,1262,1200,1590,1200
LAGOA DO CARRO,PAU FERRO,230,50,0.474,3.34,12.36,1262,1200,1590,1200
MATA NORTE,PAU FERRO,230,32,0.5995,3.0428,5.675,630,630,756,756
MATA NORTE,PAU FERRO,230,32,0.5995,3.0428,5.675,630,630,756,756
MIRUEIRA II,PAU FERRO,230,22.5,0.22,1.5,5.578,1262,1262,1590,1590
MIRUEIRA II,PAU FERRO,230,22.5,0.22,1.5,5.578,1262,1262,1590,1590
PAU FERRO,C.GRANDE II,230,127,1.16,8.38,31.24,1262,1200,1590,1200
PAU FERRO,SANTA RITA II,230,96.7,0.781,5.589,21.144,1600,1600,1882,1882
PIRAPAMA II,SUAPE II,230,20.3,0.19,1.38,5.08,1355,1355,1620,1620
PIRAPAMA II,SUAPE II,230,20.3,0.19,1.38,5.08,1355,1355,1620,1620
RECIFE II,GOIANINHA,230,71.34,1.31,6.79,12.27,631,631,795,795
RECIFE II,GOIANINHA,230,71.34,1.31,6.79,12.27,631,631,795,795
RECIFE II,JOAIRAM,230,7.6,0.14,0.76,1.26,880,880,880,880
RECIFE II,JOAIRAM,230,7.31,0.14,0.7,1.27,880,880,880,880
RECIFE II,JOAIRAM,230,7.31,0.13,0.72,1.27,880,880,880,880
RECIFE II,MIRUEIRA,230,31,0.58,3.09,5.3,631,631,795,631
RECIFE II,MIRUEIRA,230,31.4,0.58,2.95,5.56,631,631,795,795
RECIFE II,MIRUEIRA,230,31.4,0.5800000000000001,2.96,5.52,631,631,795,795
RECIFE II,PAU FERRO,230,32,0.31,2.21,8.28,1262,1200,1590,1200
RECIFE II,PAU FERRO,230,32,0.31,2.21,8.28,1262,1200,1590,1200
RECIFE II,PIRAPAMA II,230,27.6,0.51,2.59,4.84,903,903,903,903
RIBEIRAO,RECIFE II,230,56.7,1.05,5.71,9.36,437,437,621,621
RIBEIRAO,RECIFE II,230,56.7,1.05,5.71,9.42,437,437,621,437
SUAPE II,SUAPE III,230,3.58,0.03,0.25,0.92,1355,1355,1620,1620
SUAPE II,SUAPE III,230,3.58,0.03,0.25,0.92,1355,1355,1620,1620
TACAIMBO,C.GRANDE II,230,120.7,2.28,11.96,21.3,631,631,795,656
TACAIMBO,C.GRANDE II,230,120.7,2.28,12.19,21.08,631,631,795,631
B. ESPERANCA,TERESINA,230,198,3.59,19.24,33.76,500,500,630,545
B. ESPERANCA,TERESINA,230,198,3.61,19.2,34.12,500,500,630,630
BOM JESUS II,ELISEU MARTINS,230,134,1.992,12.402,24,820,820,975,975
BOM JESUS II,GILBUES II,230,139,2.065,12.86,24.9,820,820,975,975
CHAPADA I,CHAPADA II,230,12,0.21,1.12,2.132,630,630,795,795
CHAPADA I,CURRAL PIAUI II,230,53,1.084,5.1798,9.06,739,739,835.2,835.2
CHAPADA II,CHAPADA III,230,14.6,0.2558,1.3615,2.594,630,630,795,795
CHAPADA II,PICOS,230,85,1.738,8.307,14.54,706.9,706.9,835.2,835.2
CHAPADA III,CURRAL PIAUI II,230,74,1.5749,7.5253,13.17,739,684.3,835.2,684.3
MARANGATU,PIRIPIRI,230,38,0.249,2.4951,9.55,1575,1575,1960,1960
PICOS,TAUA II,230,183.2,3.23,17.31,32.14,628,628,747,747
PIRIPIRI,TERESINA III,230,143.3,0.9267,9.3581,36.11,1575,1575,1960,1960
S.JOAO PIAUI,ELISEU MARTINS,230,172.9,3.14,16.73,29.38,500,500,630,630
S.JOAO PIAUI,PICOS,230,167.8,3.05,16.24,28.24,500,500,630,630
TERESINA,COELHO NETO,230,120,2.544,12.217,22.54,586,586,738,600
TERESINA,PIRIPIRI,230,154.7,2.82,15.1,26.08,500,500,630,630
TERESINA II,TERESINA,230,25,0.46,2.35,4.4,826,826,938,938
TERESINA II,TERESINA,230,25,0.46,2.35,4.4,826,826,938,938
TERESINA II,TERESINA III,230,22.77,0.29,1.54,5.56,1055,1055,1330,1330
TERESINA II,TERESINA III,230,22.77,0.29,1.54,5.56,1055,1055,1330,1330
UB.ESPERANCA,B. ESPERANCA,230,2.8,0.06,0.3,0.5,600,600,714,714
ANDIRA LESTE,ASSIS,230,64.2,0.8018,4.4988,15.05,816,800,1122,1064
ANDIRA LESTE,SALTO GRANDE SP,230,32.7,0.4126,2.2634,7.76,816,800,1122,960
APUCARANA,LONDRINA SUL,230,33.1,0.446,2.483,7.7,978,978,1232,1232
APUCARANA,SARANDI,230,42.4,0.78,3.98,6.884,457,457,608,608
AREIA,GUARAPUAVA OEST,230,64.52,1.29,6.032,11.4,650,650,819,819
AREIA,GUARAPUAVA OEST,230,62.5,0.968,5.788,11.2,880,880,1000,1000
AREIA,S. OSORIO,230,160.5,3.19,15.74,27.14,650,650,819,819
AREIA,S. OSORIO,230,160.3,3.19,15.74,27.13,650,650,819,819
AREIA,S.MATEUS SUL,230,129,2.473,12.623,21.83,901,901,973,973
AREIA,U.VITORIA NORTE,230,53,0.59,4.753,9.8,1080,1080,1230,1230
BAIXO IGUACU,CASCAVEL OEST,230,60,0.339,3.818,15.57,980,980,1392,1392
BAIXO IGUACU,REALEZA SUL,230,35,0.415,3.356,6.81,950,950,1130,1130
BATEIAS,C.COMPRIDO,230,14,0.27,1.61,3.216,823,823,939,939
BATEIAS,C.COMPRIDO,230,17.8,0.27,1.61,3.216,823,823,939,939
BATEIAS,C.COMPRIDO,230,17.8,0.34,1.7,3.004,815,815,925,925
BATEIAS,CURITIBA NORT,230,31.2,0.46,2.89,5.58,800,800,940,940
BATEIAS,JAGUARIAIVA,230,137.1,2.09,12.77,24.59,841,841,1041,1041
BATEIAS,PILARZINHO,230,29,0.655,2.906,5.6,861,861,990,990
BATEIAS,PONTA G SUL,230,90.2,1.6,8.07,14.21,439,439,584,584
C.COMPRIDO,C.I.CURITIBA,230,16.7,0.25,1.25,2.434,958,958,1073,1073
C.COMPRIDO,GRALHA AZUL,230,23.5,0.37,2.15,4.28,968,968,1084,1084
C.COMPRIDO,PILARZINHO,230,17.7,0.34,1.64,3.16,996,996,1116,1116
C.COMPRIDO,SANTAQUITERIA,230,10.33,0.152,0.903,2.9,969,969,1085,1085
C.I.CURITIBA,UMBARA,230,8.7,0.12,0.7,1.4,968,968,1084,1084
C.MOURAO,APUCARANA,230,114.5,2.17,11.23,19.32,594,594,749,749
C.MOURAO,MARINGA,230,79.9,1.592,7.835,13.6,594,594,749,749
C.MOURAO,S. OSORIO,230,181.2,3.605,17.776,30.65,878,878,948,948
C.MOURAO,S. OSORIO,230,181.3,3.606,17.776,30.87,878,878,948,948
CAMPO ASSOBIO,D.S.J.PINHAIS,230,18.1,0.37,1.8,3.487,750,750,750,750
CAMPO ASSOBIO,UMBARA,230,21.8,0.38,1.88,3.63,750,750,750,750
CASCAVEL,FOZ DO CHOPIM,230,78,1.11,6.92,12.49,812,812,950,950
CASCAVEL,FOZ DO CHOPIM,230,72.43,1.118,6.9,12.6,812,812,950,950
CASCAVEL,MEDIANEIRA NT,230,70,1.133,7.055,12.84,713,713,876,876
CASCAVEL NORT,CASCAVEL OEST,230,26.5,0.41,2.44,4.77,800,800,935,935
CASCAVEL NORT,CASCAVEL OEST,230,30.3,0.56,3.35,6.67,800,800,935,935
CASCAVEL NORT,UMUARAMA SUL,230,129.4,2.02,11.96,23.22,800,800,935,935
CASCAVEL OEST,CASCAVEL,230,10.3,0.2,1.03,1.861,878,878,948,948
CASCAVEL OEST,CASCAVEL,230,11.3,0.18,1.07,2.141,895,895,1029,1029
CASCAVEL OEST,CASCAVEL,230,11.3,0.17,1.03,2.053,895,895,1029,1029
CASCAVEL OEST,MEDIANEIRA NT,230,58.7,1.062,5.998,11.46,714,714,961,961
CASTRO NORTE,KLABIN CELULOSE,230,119.27,1.732,11.321,21.2,836,836,980,980
CASTRO NORTE,PONTA GROSSA,230,63.42,0.923,5.918,11.3,836,836,980,980
CURIT. CENTRO,UBERABA,230,7.8,0.052,0.404,31.7,910,910,1205,1205
CURIT. CENTRO,UBERABA,230,7.8,0.052,0.404,31.7,910,910,1205,1205
CURIT.LESTE,D.S.J.PINHAIS,230,8.9,0.14,0.8,1.63,861,861,990,990
CURIT.LESTE,POSTO FISCAL,230,61.4,1.19,5.82,10.71,413,413,549.3,549.3
CURIT.LESTE,SANTA MONICA,230,26.4,0.4,2.36,4.85,861,861,990,990
CURIT.LESTE,UBERABA,230,19.3,0.34,1.81,3.456,791,791,897,897
CURITIBA,JOINV.NORTE,230,96.4,1.123,8.697,16.45,878,878,948,948
CURITIBA,JOINV.NORTE,230,99.9,1.125,8.976,17.59,830,830,1040,1040
CURITIBA,JOINVILLE,230,99.7,1.826,9.336,16.84,878,878,948,948
CURITIBA,S.MATEUS SUL,230,117,2.003,11.35,19.76,650,650,819,819
CURITIBA,UMBARA,230,0.02,0.001,0.01,0.024,2600,2600,2600,2600
CURITIBA,UMBARA,230,0.02,0.001,0.01,0.024,2600,2600,2600,2600
CURITIBA NORT,PILARZINHO,230,17.23,0.34,1.66,2.981,397,397,528,528
D.S.J.PINHAIS,REPAR,230,33.6,0.46,2.79,5.563,793,793,927,927
D.S.J.PINHAIS,UBERABA,230,11.9,0.19,0.94,1.824,750,750,750,750
F.IGUACUNORTE,MEDIANEIRA NT,230,51,0.878,5.542,10.05,713,713,876,876
F.IGUACUNORTE,MEDIANEIRA NT,230,51,0.892,5.033,9.61,714,714,961,961
FIGUEIRA,CHAVANTES,230,105.2,2.01,10.29,17.82,586,586,708,708
FIGUEIRA,JAGUARIAIVA,230,82.7,1.59,8.09,14.14,718,718,840,840
FIGUEIRA,KLABIN CELULOSE,230,82.7,1.221,7.777,15.46,836,836,980,980
FIGUEIRA,SE.MAUA,230,43.3,0.44,3.56,8.59,858,858,1067,1067
FOZ DO CHOPIM,REALEZA SUL,230,53,0.806,4.785,9.42,800,800,935,935
FOZ DO CHOPIM,S. OSORIO,230,14.3,0.15,0.89,1.632,812,812,930,930
FOZ DO CHOPIM,S. OSORIO,230,10,0.15,0.9,1.817,815,815,1030,1030
FOZ DO CHOPIM,S. OSORIO,230,10,0.163,0.993,1.8,812,812,950,950
GRALHA AZUL,REPAR,230,0.8,0.012,0.12,0.233,793,793,927,927
GRALHA AZUL,UMBARA,230,4.2,0.051,0.391,0.8,1054,1054,1255,1255
GUAIRA,UMUARAMA SUL,230,103.9,1.6,9.56,19,800,800,935,935
GUAIRA,UMUARAMA SUL,230,108,1.602,9.523,18.9,825,825,965,965
GUARAPUAVA OEST,IRATI NORTE,230,163,3.08,15.782,27.5,650,650,819,819
IBIPORA,LONDRINA ESU,230,20.3,0.54,1.917,3.564,879,879,949,949
IBIPORA,LONDRINA ESU,230,20.3,0.54,1.917,3.564,879,879,949,949
IRATI NORTE,PONTA GROSSA,230,50.7,0.969,4.907,8.5,650,650,819,819
IRATI NORTE,PONTA GROSSA,230,55,0.869,5.196,10,880,880,1000,1000
JAGUARIAIVA,SE.MAUA,230,107.1,1.1,8.89,21.48,858,858,1067,1067
KLABIN CELULOSE,SE.MAUA,230,138.2,0.461,3.477,7.919,820,820,1046,1046
LONDRINA ESU,APUCARANA,230,45.1,0.86,4.38,7.688,724,724,847,847
LONDRINA ESU,FIGUEIRA,230,100.1,1.91,9.84,16.85,724,724,847,847
LONDRINA ESU,FIGUEIRA,230,88,1.72,8.64,16.25,724,724,847,847
LONDRINA ESU,LONDRINA COT,230,34.3,0.467,2.584,8,978,978,1232,1232
LONDRINA ESU,LONDRINA COT,230,38.65,0.767,3.606,6.8,594,594,749,749
LONDRINA ESU,LONDRINA SUL,230,14.1,0.183,1.026,3.2,978,978,1232,1232
LONDRINA ESU,MARINGA,230,103.93,2.123,9.673,18.41,598,598,824,824
LONDRINA ESU,SARANDI,230,78.14,1.556,7.469,13.7,594,594,749,749
MARINGA,SARANDI,230,20,0.36,1.84,3.192,457,457,608,608
MARINGA,SARANDI,230,17.42,0.346,1.69,2.9,594,594,749,749
PARANAVAI NOR,SARANDI,230,85,1.247,7.66,14.6,804,804,957,957
PARANAVAI NOR,SARANDI,230,85,1.247,7.66,14.6,804,804,957,957
PARIGOT SOUZA,POSTO FISCAL,230,70,1.23,6.16,11.23,413,413,549.3,549.3
PARIGOT SOUZA,SANTA MONICA,230,55.2,1.06,5.34,9.43,458,458,609.14,609.14
PATO BRANCO,XANXERE ESU,230,79.6,1.657,7.739,13.58,1047,1047,1130,1130
PEROXIDOS,UMBARA,230,5.79,0.1,0.56,1.121,553,553,697,697
PONTA G NORTE,PONTA G SUL,230,22.1,0.42,2.12,3.82,440,440,585,585
PONTA GROSSA,PONTA G NORTE,230,21.93,0.439,2.145,3.7,650,650,819,819
PONTA GROSSA,PONTA G NORTE,230,21.65,0.317,1.993,3.9,836,836,980,980
PONTA GROSSA,PONTA G SUL,230,31,0.389,2.797,5.6,1045,1045,1235,1235
PONTA GROSSA,S.MATEUS SUL,230,93,1.118,8.038,16.1,1045,1045,1235,1235
S. OSORIO,PATO BRANCO,230,85.9,1.838,8.578,15.06,1047,1047,1130,1130
S. OSORIO,XANXERE ESU,230,162,3.396,15.861,27.83,1047,1047,1130,1130
S.MATEUS SUL,U.VITORIA NORTE,230,103,1.021,8.23,16.9,1080,1080,1230,1230
SANTA MONICA,PILARZINHO,230,27.9,0.619,2.972,5.5,861,861,990,990
SANTAQUITERIA,UMBARA,230,24.73,0.46,2.39,4.73,694,694,694,694
UBERABA,UMBARA,230,37.2,0.71,3.44,6.655,750,750,750,750
UBERABA,UMBARA,230,37,0.6,3.33,6.68,791,791,896,896
NILO PECANHA,SANTA CABECA,230,115.8,2.39,12.08,20.49,730,666,905,666
ACU II,ACU III,230,16.2,0.3482,1.7335,2.865,750,750,750,750
ACU II,ACU III,230,15.91,0.3076,1.5353,2.727,753,753,896,896
ACU II,ACU III,230,18.35,0.2923,1.5119,3.206,750,750,895,895
ACU III,MOSSORO II,230,64.93,1.2559,6.3113,11.04,753,753,753,753
ACU III,MOSSORO II,230,65.53,1.243,6.2283,11.42,750,750,895,895
ACU III,SIMPLICE,230,52.5,0.992,4.9716,9.202,0,0,0,0
CARAUBAS II,ACU III,230,56.05,0.7171,3.8471,13.6,940,940,1185,1185
CARAUBAS II,ACU III,230,56.05,0.7171,3.8471,13.6,940,940,1185,1185
CEARA MIRIM 2,EXTREMOZ II,230,31.2,0.123,1.238,4.874,1380,1380,1740,1740
CEARA MIRIM 2,EXTREMOZ II,230,19.2,0.205,2.017,7.954,1380,1380,1740,1740
CEARA MIRIM 2,JOAO CAMARA 2,230,72.2,0.46,4.81,18.9,1380,1380,1740,1740
CEARA MIRIM 2,JOAO CAMARA 2,230,72.2,0.449,4.493,16.23,1380,1380,1740,1740
CEARA MIRIM 2,TOUROS,230,61.45,0.38,3.98,15.62,1600,1600,1900,1900
CURR NOVOS II,LAGOA NOVA II,230,24.72,0.463,2.289,4.4,750,750,890,890
CURR NOVOS II,LAGOA NOVA II,230,24.72,0.463,2.289,4.4,750,750,890,890
EXTREMOZ II,NATAL III,230,17,0.15,1.11,4.12,1262,1262,1590,1590
EXTREMOZ II,NATAL III,230,16.5,0.15,1.11,4.12,1262,1262,1590,1590
JOAO CAMARA 2,J. CAMARA III,230,10,0.059,0.587,2.277,1581,1581,1960,1960
JOAO CAMARA 2,J. CAMARA III,230,10,0.059,0.587,2.277,1581,1581,1960,1960
LAGOA NOVA II,PARAISO,230,65,0.48,3.54,23.36,1390,1390,1750,1750
LAGOA NOVA II,PARAISO,230,68.65,1.23,6.52,12.04,750,750,750,750
MOSSORO II,MOSSORO IV,230,40,0.4649,3.3253,6.42,890,890,1040,1040
MOSSORO II,QUIXERE,230,50.077,0.93,4.92,8.5,631,631,795,795
NATAL III,NATAL II,230,11.55,0.11,0.77,2.86,1262,1262,1590,1590
NATAL III,NATAL II,230,11.55,0.11,0.77,2.86,1262,1262,1590,1590
PARAISO,ACU II,230,135,2.43,12.53,23.22,753,753,896,896
