nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
FORD,POLO,230,0.5,0.0309,0.1301,0.306,628,628,791,791
FORD,POLO,230,0.5,0.0309,0.1301,0.306,628,628,791,791
FUNIL,ITAGIBA,230,29,0.5867,2.5617,6.315,628,628,791,791
FUNIL,ITAPEBI SE,230,200,3.58,18.42,35.06,631,631,795,795
FUNIL,POCOES II,230,117.61,2.315,11.001,20.82,628,628,791,791
G.MANGABEIRA,F. SANTANA III,230,96.13,1.703,9.066,17,631,631,795,795
G.MANGABEIRA,SAPEACU,230,23,0.477,2.292,4.004,631,631,795,675
G.MANGABEIRA,SAPEACU,230,23,0.42,2.11,3.96,631,631,795,795
G.MANGABEIRA,SAPEACU,230,23,0.42,2.12,3.98,631,631,795,795
IGAPORA II,IGAPORA III,230,5.33,0.03,0.37,1.3,1600,1600,1900,1900
IGAPORA II,IGAPORA III,230,5.33,0.03,0.37,1.3,1600,1600,1900,1900
IGAPORA III,PINDAI II,230,49.6,0.34,3.3,12.5,1600,1600,1900,1900
IGAPORA III,PINDAI II,230,50,0.3219,3.299,12.83,1600,1600,1900,1900
IGAPORA III,PINDAI II,230,50,0.3219,3.299,12.83,1600,1600,1900,1900
IRECE,MORRO CHAPEU II,230,65,1.18,6.08,11.14,631,631,795,795
IRECE,OUROLANDIA II,230,84,1.55,8.33,17.23,631,631,795,795
ITABUNA III,FUNIL,230,99.25,1.9574,9.3004,17.71,631,631,795,795
ITABUNA III,ITAPEBI SE,230,145.95,2.8657,13.632,25.8,631,631,795,795
ITAGIBA,POCOES II,230,87,1.7433,8.2519,15.58,628,628,791,791
ITAPEBI SE,EUNAPOLIS,230,47,0.713,4.432,8.272,631,631,795,795
ITAPEBI SE,EUNAPOLIS,230,47,0.713,4.432,8.272,631,631,795,795
JAGUARARI-SE,JUAZEIRO II,230,80.4,1.6,8.17,15.36,631,631,795,795
JAGUARARI-SE,SR.BONFIM II,230,87.2,1.48,7.57,14.2,631,631,795,795
JUAZEIRO II,JUAZEIRO III,230,5,0.026,0.31,1.2,2050,2050,2400,2400
JUAZEIRO II,SR.BONFIM II,230,148.5,2.7,13.9,26.26,631,631,795,795
MEDEIROS NETOII,TEIX FREITAS II,230,56.6,0.7368,5.2029,10.3,885,885,1200,1200
MEDEIROS NETOII,TEIX FREITAS II,230,56.6,0.7368,5.2029,10.3,885,885,1200,1200
OUROLANDIA II,CAMPO FORMOSO,230,105,1.937,10.413,17.8,631,631,795,795
P. AFONSO IV_SE,P.AFONSO III,230,1.4,0.01,0.08,0,2524,1200,3180,1200
P. AFONSO IV_SE,P.AFONSO III,230,1.35,0.01,0.07,0,2524,1200,3180,1200
P.AFONSO III,BOM NOME,230,170.8,2.18,9.72,50.9,1003,1003,1003,1003
P.AFONSO III,CICERO DANTAS,230,134.2,2.46,13.15,22.74,437,437,621,621
P.AFONSO III,CICERO DANTAS,230,133.8,2.45,13.1,22.68,631,631,795,631
P.AFONSO III,ITABAIANA,230,163,2.96,15.23,28.9,631,631,795,795
